"track","artist","count"
"1985","Freddie Gibbs",1
"One Mo'gin","D'Angelo",1
"Chicken Grease","D'Angelo",1
"Send It On","D'Angelo",1
"The Line","D'Angelo",1
"Left and Right","D'Angelo",1
"Playa Playa","D'Angelo",1
"Devil's Pie","D'Angelo",1
"The Message","Nas",1
"Party Over (feat. Big Noyd)","Mobb Deep",1
"Shook Ones, Pt. II","Mobb Deep",1
"Drink Away the Pain (Situations) (feat. Q-Tip)","Mobb Deep",1
"Cradle to the Grave","Mobb Deep",1
"(The Grave Prelude)","Mobb Deep",1
"Right Back At You (feat. Ghostface Killah, Raekwon & Big Noyd)","Mobb Deep",1
"Q.U. - Hectic","Mobb Deep",1
"Trife Life","Mobb Deep",1
"Up North Trip","Mobb Deep",1
"Temperature's Rising (feat. Crystal Johnson)","Mobb Deep",1
"Give Up the Goods (Just Step) (feat. Big Noyd)","Mobb Deep",1
"(Just Step Prelude)","Mobb Deep",1
"Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon)","Mobb Deep",1
"Survival of the Fittest","Mobb Deep",1
"(The Infamous Prelude)","Mobb Deep",1
"The Start of Your Ending (41st Side)","Mobb Deep",1
"Good Times","Styles P",1
"Boblo Boat (feat. J. Cole)","Royce da 5'9""",1
"'97 Hov","Benny the Butcher",1
"5 to 50 (feat. India)","Benny the Butcher",1
"18 Wheeler (feat. Pusha T)","Benny the Butcher",1
"Took the Money to the Plug's House","Benny the Butcher",1
"Dirty Harry (feat. Rj Payne & Conway the Machine)","Benny the Butcher",1
"Sunday School (feat. 38 Spesh & Jadakiss)","Benny the Butcher",1
"Crowns for Kings (feat. Black Thought)","Benny the Butcher",1
"Magnificent","Black Thought",1
"Good Morning (feat. Pusha T, Swizz Beatz & Killer Mike)","Black Thought",1
"State Prisoner","Black Thought",1
"I'm Not Crazy (First Contact)","Black Thought",1
"Shadows","Manik MC",1
"Everybody","Bentley",1
"Kings","Rapper Big Pooh",1
"Dear Dilla","Phife Dawg",1
"The Fool Pt 3 (Frame Of Mind)","Shad",1
"All Night","Jerreau",1
"See you leave","RJD2",1
"Train Love","Your Old Droog",1
"Put It On Her","Big Grams",1
"Whip You With A Strap","Ghostface Killah",1
"Mozambique Drill","Mach-Hommy",1
"Smile #2","slauson malone",1
"Echo (feat. Nas)","Swizz Beatz",1
"self love","Mavi",1
"Love Is a Funny Thing (feat. Styles P, Rapsody & Khrysis)","Evidence",1
"I Like It (I Wanna Be Where You Are)","Grand Puba",1
"The King Of Nothing","Ymg Shooter",1
"Money, Power & Respect (Feat. DMX & Lil' Kim)","The Lox",1
"Smoke All Day (feat. Dyce Payne)","Styles P",1
"Looking For A New Love","Jody Watley",1
"Skillz in '95","Mad Skillz",1
"Slob On My Nob (feat. Project Pat)","Tear da Club Up Thugs",1
"Eyes N Ears","Hydroponikz",1
"The Crude Facts","Hydroponikz",1
"Hands Up","Hydroponikz",1
"Perfect","Hydroponikz",1
"The Ingredients","Hydroponikz",1
"Never Stop","Hydroponikz",1
"The Plan","Hydroponikz",1
"Healthy Behaviour","Hydroponikz",1
"Back Home","Hydroponikz",1
"Right Back","Hydroponikz",1
"I'm On","Kamaiyah",1
"GRID (feat. Cypress Hill, and George Clinton)","Public Enemy",1
"Los Pollos Hermanos","KnuckS",1
"Had Enough","Theodor Black",1
"Forbidden Fruit (feat. Kendrick Lamar)","J. Cole",1
"Best Part (feat. H.E.R.)","Daniel Caesar",1
"Get You (feat. Kali Uchis)","Daniel Caesar",1
"All Glass","Freddie Gibbs",1
"Skinny Suge","Freddie Gibbs",1
"Babies & Fools (feat. Conway The Machine)","Freddie Gibbs",1
"Baby $hit","Freddie Gibbs",1
"Something to Rap About (feat. Tyler, The Creator)","Freddie Gibbs",1
"Frank Lucas (feat. Benny The Butcher)","Freddie Gibbs",1
"Look At Me","Freddie Gibbs",1
"Scottie Beam","Freddie Gibbs",1
"God Is Perfect","Freddie Gibbs",1
"Heavenly Father","Isaiah Rashad",1
"White (feat. Frank Ocean)","OFWGKTA",1
"500 Benz","Joey Bada$$",1
"Amerikkkan Idol","Joey Bada$$",1
"LEGENDARY","Joey Bada$$",1
"BABYLON","Joey Bada$$",1
"SUPER PREDATOR","Joey Bada$$",1
"RING THE ALARM","Joey Bada$$",1
"ROCKABYE BABY","Joey Bada$$",1
"Y U Don't Love Me? (Miss Amerikkka)","Joey Bada$$",1
"Devastated","Joey Bada$$",1
"Land of the Free","Joey Bada$$",1
"Temptation","Joey Bada$$",1
"For My People","Joey Bada$$",1
"Good Morning Amerikkka","Joey Bada$$",1
"Teach Me","Joey Bada$$",1
"Run up on Ya - Bonus","Joey Bada$$",1
"Curry Chicken","Joey Bada$$",1
"O.C.B.","Joey Bada$$",1
"Black Beetles","Joey Bada$$",1
"Escape 120","Joey Bada$$",1
"On & On","Joey Bada$$",1
"Christ Conscious","Joey Bada$$",1
"No. 99","Joey Bada$$",1
"Belly Of The Beast","Joey Bada$$",1
"Like Me","Joey Bada$$",1
"Hazeus View","Joey Bada$$",1
"Big Dusty","Joey Bada$$",1
"Piece of Mind","Joey Bada$$",1
"Paper Trail$","Joey Bada$$",1
"Greenbax (Introlude)","Joey Bada$$",1
"Save the Children","Joey Bada$$",1
"Where It'$ At?","Joey Bada$$",1
"Righteous Minds","Joey Bada$$",1
"Don't Front","Joey Bada$$",1
"Snakes","Joey Bada$$",1
"Daily Routine","Joey Bada$$",1
"Funky Ho'$","Joey Bada$$",1
"Pennyroyal","Joey Bada$$",1
"World Domination","Joey Bada$$",1
"Hardknock","Joey Bada$$",1
"Killuminati","Joey Bada$$",1
"Survival Tactics","Joey Bada$$",1
"FromdaTomb$","Joey Bada$$",1
"Waves","Joey Bada$$",1
"Gang Signs (feat. ScHoolboy Q)","Freddie Gibbs",1
"None Shall Pass","Aesop Rock",1
"Summer Knights","Joey Bada$$",1
"Freestyle S**t","Freddie Gibbs",1
"Ronnie Drake (feat. SZA)","Isaiah Rashad",1
"Anti-Matter","King Geedorah",1
"Freeze Tag (feat. Phoelix)","Terrace Martin",1
"Communicate","Mick Jenkins",1
"Shine","Joey Bada$$",1
"Smile","Isaiah Rashad",1
"Azucar","Earl Sweatshirt",1
"Tere Jeya Hor Disda","The Yellow Diary",1
"Kashmir","The Yellow Diary",1
"Marz","The Yellow Diary",1
"Dheere Se","The Yellow Diary",1
"STATS","Baby Keem",1
"Winter in America - From “Black History Always / Music For the Movement Vol. 2""","Freddie Gibbs",1
"One Way Flight (feat. Freddie Gibbs)","Benny the Butcher",1
"Sunny Daze","Lord Apex",1
"Glory","Hodgy",1
"Quicksand (feat. Common & Dezi Paige)","Yancey Boys",1
"Like That","Black Eyed Peas",1
"The World Is Yours","Nas",1
"Halftime","Nas",1
"The Light","Common",1
"The Games We Play","Pusha T",1
"Lotus Flower Bomb (feat. Miguel)","Wale",1
"UMI Says","Mos Def",1
"Daydreamin' (feat. Jill Scott)","Lupe Fiasco",1
"Adam and Eve","Nas",1
"Vice City (feat. Black Hippy)","Jay Rock",1
"My Nigga Just Made Bail","Bas",1
"Superstar (feat. Matthew Santos)","Lupe Fiasco",1
"Substance Abuse","Smoke DZA",1
"Life's A Bitch (feat. AZ & Olu Dara)","Nas",1
"What They Do","The Roots",1
"Bloody Waters (with Anderson .Paak & James Blake)","Ab-Soul",1
"The Show Goes On","Lupe Fiasco",1
"Ms. Fat Booty","Mos Def",1
"Mural","Lupe Fiasco",1
"SHELTER ft Wyclef Jean, ft Chance The Rapper","Vic Mensa",1
"Mathematics","Mos Def",1
"Wow Freestyle (feat. Kendrick Lamar)","Jay Rock",1
"I Used to Love H.E.R.","Common",1
"Electric Relaxation","A Tribe Called Quest",1
"N.Y. State of Mind","Nas",1
"If I Ruled The World (Imagine That) (feat. Lauryn Hill)","Nas",1
"Dumb It Down (feat. Gemstones & Graham Burris)","Lupe Fiasco",1
"Spaceship","Kanye West",1
"The 6th Sense","Common",1
"Killa Cam","Cam'ron",1
